epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,29.1682,2.27101,3.70466,1.5598,0.00433,0.08228,0.00236,0.00046,1.83923,3.71013,1.47251,0.00024,8e-05,0.00024,8e-05,0.00024,8e-05,0.00024,8e-05
2,50.8797,2.20286,3.72631,1.50822,0.00467,0.08861,0.00255,0.00048,1.70711,3.70446,1.41339,0.000529308,0.000176436,0.000529308,0.000176436,0.000529308,0.000176436,0.000529308,0.000176436
3,66.2467,2.09412,3.67909,1.48061,0.00567,0.10759,0.00316,0.00062,1.57728,3.69168,1.35732,0.000806736,0.000268912,0.000806736,0.000268912,0.000806736,0.000268912,0.000806736,0.000268912
4,85.0934,1.97661,3.65809,1.43519,0.009,0.17089,0.00527,0.00121,1.35765,3.65874,1.2627,0.00107228,0.000357428,0.00107228,0.000357428,0.00107228,0.000357428,0.00107228,0.000357428
5,100.332,1.73862,3.58672,1.33897,0.014,0.26582,0.00895,0.00234,1.2203,3.632,1.19264,0.00132595,0.000441984,0.00132595,0.000441984,0.00132595,0.000441984,0.00132595,0.000441984
6,112.438,1.54908,3.55073,1.28794,0.01933,0.36709,0.0133,0.0037,1.15282,3.61396,1.15445,0.00156774,0.00052258,0.00156774,0.00052258,0.00156774,0.00052258,0.00156774,0.00052258
7,128.039,1.38246,3.49043,1.17828,0.02567,0.48734,0.01927,0.00643,1.07299,3.56829,1.09008,0.00179765,0.000599216,0.00179765,0.000599216,0.00179765,0.000599216,0.00179765,0.000599216
8,140.46,1.34728,3.44796,1.15423,0.03,0.56962,0.02412,0.00917,1.05296,3.53578,1.06522,0.00201568,0.000671892,0.00201568,0.000671892,0.00201568,0.000671892,0.00201568,0.000671892
9,152.576,1.3635,3.36453,1.11144,0.034,0.64557,0.03056,0.01438,1.02911,3.47034,1.03571,0.00222182,0.000740608,0.00222182,0.000740608,0.00222182,0.000740608,0.00222182,0.000740608
10,168.086,1.29946,3.29061,1.09795,0.044,0.83544,0.05304,0.03189,0.99858,3.30731,0.98079,0.00241609,0.000805364,0.00241609,0.000805364,0.00241609,0.000805364,0.00241609,0.000805364
11,180.737,1.18884,3.19684,1.0227,0.049,0.93038,0.06803,0.04414,0.98139,3.21678,0.95634,0.00259848,0.00086616,0.00259848,0.00086616,0.00259848,0.00086616,0.00259848,0.00086616
12,192.908,1.21265,3.0994,1.02212,0.05,0.94937,0.07993,0.05416,0.96074,3.14286,0.94264,0.00276899,0.000922996,0.00276899,0.000922996,0.00276899,0.000922996,0.00276899,0.000922996
13,205.199,1.1708,2.9747,0.99034,0.05133,0.97468,0.08719,0.06098,0.93311,3.0666,0.92943,0.00292762,0.000975872,0.00292762,0.000975872,0.00292762,0.000975872,0.00292762,0.000975872
14,214.397,1.0391,2.8015,0.95823,0.05133,0.97468,0.08719,0.06098,0.93311,3.0666,0.92943,0.00307436,0.00102479,0.00307436,0.00102479,0.00307436,0.00102479,0.00307436,0.00102479
